,Unnamed: 0,ライブ配信の位置（秒）,ライブ同時視聴者数,チャット メッセージ数
279,292,17520,1405,3
280,293,17580,1191,4
281,294,17640,1115,7
282,295,17700,1042,2
283,296,17760,996,3
284,297,17820,973,5
285,298,17880,975,3
286,299,17940,970,3
287,300,18000,973,1
288,301,18060,979,4
289,302,18120,998,2
290,303,18180,1027,4
291,304,18240,1045,3
292,305,18300,1071,2
293,306,18360,1088,4
294,307,18420,1103,3
295,308,18480,1095,1
296,309,18540,1107,3
297,310,18600,1128,0
298,311,18660,1239,0
299,312,18720,1356,1
300,313,18780,1400,5
301,314,18840,1463,3
302,315,18900,1535,3
303,316,18960,1635,5
304,317,19020,1878,10
305,318,19080,2103,17
306,319,19140,2460,26
307,320,19200,2809,26
308,321,19260,2908,33
309,322,19320,2577,31
310,323,19380,2012,17
311,324,19440,1862,21
312,325,19500,1808,9
313,326,19560,1780,11
314,327,19620,1511,11
315,328,19680,1387,11
316,329,19740,1356,6
317,330,19800,1389,8
318,331,19860,1401,2
319,332,19920,1474,4
320,333,19980,1505,7
321,334,20040,1506,7
322,335,20100,1542,4
323,336,20160,1562,6
324,337,20220,1593,3
325,338,20280,1609,6
326,339,20340,1639,8
327,340,20400,1641,6
328,341,20460,1656,5
329,342,20520,1654,12
330,343,20580,1647,7
331,344,20640,1688,8
332,345,20700,1687,7
333,346,20760,1705,9
334,347,20820,1714,16
335,348,20880,1729,5
336,349,20940,1758,8
337,350,21000,1780,11
338,351,21060,1791,7
339,352,21120,1837,3
340,353,21180,1993,7
341,354,21240,2158,12
342,355,21300,2334,8
343,356,21360,2592,6
344,357,21420,3158,18
345,358,21480,3979,56
346,359,21540,4583,113
347,360,21600,4769,96
348,361,21660,4239,76
349,362,21720,3122,58
350,363,21780,2235,20
351,364,21840,2013,24
352,365,21900,1891,16
353,366,21960,1536,13
354,367,22020,1121,10
355,368,22080,886,5
356,369,22140,790,8
357,370,22200,713,7
