,Unnamed: 0,繝ｩ繧､繝夜・菫｡縺ｮ菴咲ｽｮ・育ｧ抵ｼ・繝ｩ繧､繝門酔譎りｦ冶・閠・焚,繝√Ε繝・ヨ 繝｡繝・そ繝ｼ繧ｸ謨ｰ,
297,,18600,1128,0
298,,18660,1239,0
299,,18720,1356,1
300,,18780,1400,5
301,,18840,1463,3
302,,18900,1535,3
303,,18960,1635,5
304,,19020,1878,10
305,,19080,2103,17
306,,19140,2460,26
307,,19200,2809,26
308,,19260,2908,33
309,,19320,2577,31
310,,19380,2012,17
311,,19440,1862,21
312,,19500,1808,9
313,,19560,1780,11
314,,19620,1511,11
315,,19680,1387,11
316,,19740,1356,6
317,,19800,1389,8
318,,19860,1401,2
319,,19920,1474,4
320,,19980,1505,7
321,,20040,1506,7
322,,20100,1542,4
323,,20160,1562,6
324,,20220,1593,3
325,,20280,1609,6
326,,20340,1639,8
327,,20400,1641,6
328,,20460,1656,5
329,,20520,1654,12
330,,20580,1647,7
331,,20640,1688,8
332,,20700,1687,7
333,,20760,1705,9
334,,20820,1714,16
335,,20880,1729,5
336,,20940,1758,8
337,,21000,1780,11
338,,21060,1791,7
339,,21120,1837,3
340,,21180,1993,7
341,,21240,2158,12
342,,21300,2334,8
343,,21360,2592,6
344,,21420,3158,18
345,,21480,3979,56
346,,21540,4583,113
347,,21600,4769,96
348,,21660,4239,76
349,,21720,3122,58
350,,21780,2235,20
351,,21840,2013,24
352,,21900,1891,16
353,,21960,1536,13
354,,22020,1121,10
355,,22080,886,5
356,,22140,790,8
357,,22200,713,7
